,byear,sex,ret_age,education,init_wage,pension,bal_rrsp,bal_tfsa,bal_other_reg,bal_unreg,cont_rate_rrsp,cont_rate_tfsa,cont_rate_other_reg,cont_rate_unreg,withdrawal_rrsp,withdrawal_tfsa,withdrawal_other_reg,withdrawal_unreg,replacement_rate_db,rate_employee_db,income_previous_db,init_dc,rate_employee_dc,rate_employer_dc,s_byear,s_sex,s_ret_age,s_education,s_init_wage,s_pension,s_bal_rrsp,s_bal_tfsa,s_bal_other_reg,s_bal_unreg,s_cont_rate_rrsp,s_cont_rate_tfsa,s_cont_rate_other_reg,s_cont_rate_unreg,s_withdrawal_rrsp,s_withdrawal_tfsa,s_withdrawal_other_reg,s_withdrawal_unreg,s_replacement_rate_db,s_rate_employee_db,s_income_previous_db,s_init_dc,s_rate_employee_dc,s_rate_employer_dc,weight,couple,prov,first_residence,second_residence,price_first_residence,price_second_residence,business,price_business,mix_bonds,mix_bills,mix_equity,fee,fee_equity,credit_card,personal_loan,student_loan,car_loan,credit_line,first_mortgage,second_mortgage,other_debt,credit_card_payment,personal_loan_payment,student_loan_payment,car_loan_payment,credit_line_payment,first_mortgage_payment,second_mortgage_payment,other_debt_payment,claim_age_cpp,s_claim_age_cpp,cap_gains_unreg,s_cap_gains_unreg,realized_losses_unreg,s_realized_losses_unreg,init_room_rrsp,init_room_tfsa,s_init_room_rrsp,s_init_room_tfsa
0,1983.0,male,65.0,post-secondary,80000.0,,203255.8139534884,11962.025316455696,,240000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,1957.0,female,75.0,post-secondary,69000.0,,,,,150000.0,,,,0.0,,,,0.0,,,,45000.0,0.04,0.04,1,True,on,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,7200.0,4000.0,,,,,,,600.0,250.0,,,,65.0,60.0,0,0.0,0,0.0,0,0,0.0,0.0
1,1971.0,female,65.0,high school,50000.0,,900.0,,,2400.0,0.0,,,0.07015738640349851,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,on,445000.0,,445000.0,,,,0.0,1.0,0.0,0.008333333333333333,0.0,,,,,,212000.0,,,,,,,,1000.0,,,70.0,,0,,0,,0,0,,
2,1956.0,female,65.0,post-secondary,65000.0,,,18750.0,,500.0,,0.0390625,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,qc,,,,,,,0.9995502024089159,0.0004497975910840122,0.0,0.01999550202408916,0.0,,,,,1200.0,,,,,,,,25.0,,,,60.0,,0,,0,,0,0,,
3,1966.0,female,60.0,post-secondary,55000.0,,26250.0,,,26470.588235294123,0.0,,,0.05882352941176471,0.0,,,0.0,,,,,,,1959.0,male,75.0,post-secondary,30000.0,,,94137.93103448275,,105882.35294117649,,0.0,,0.0,,0.0,,0.0,,,,,,,1,True,on,665000.0,,665000.0,,,,0.6894977168949772,0.02968036529680365,0.2808219178082192,0.018732876712328768,0.00523972602739726,,52000.0,,,,335000.0,,,,800.0,,,,1706.0,,,65.0,65.0,0,0.0,0,0.0,0,0,0.0,0.0
4,1966.0,female,58.0,post-secondary,90000.0,,4271.186440677966,2706.766917293233,1846.1538461538464,,0.012711864406779662,0.0075187969924812035,0.0,,0.0,0.0,0.0,,0.5,0.05,,5000.0,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,1,False,on,130000.0,,130000.0,,0.0,0.0,0.36781609195402293,0.08045977011494253,0.5517241379310345,0.014597701149425288,0.008275862068965516,,,,5500.0,,78000.0,,,,,,500.0,,400.0,,,65.0,,0,,0,,0,0,,
5,1969.0,male,58.0,university,35000.0,,15308.64197530864,29032.25806451613,,964.2857142857144,0.0,0.0,,0.014285714285714284,0.0,0.0,,0.0,0.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,qc,240000.0,,240000.0,,,,0.0,0.12280701754385966,0.8771929824561403,0.02198830409356725,0.02192982456140351,,,,,,64000.0,,,,,,,,1400.0,,,65.0,,0,,0,,0,0,,
6,1966.0,male,65.0,high school,42398.0,,480000.0,,,1000.0,0.13333333333333333,,,0.0,0.0,,,0.0,,,,300000.0,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,,1,False,qc,500000.0,,500000.0,,,,0.020869565217391303,0.5391304347826087,0.44,0.0066521739130434784,0.002252173913043478,80000.0,,,,10000.0,,,,2000.0,,,,400.0,,,,65.0,,0,,0,,0,0,,
7,1993.0,female,65.0,post-secondary,23000.0,,53000.0,,,10000.0,0.0,,,0.0,5000.0,,,0.0,0.7,0.09,,15000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1,False,on,305000.0,,305000.0,,,,0.3888888888888889,0.027777777777777776,0.5833333333333333,0.01486111111111111,0.008749999999999999,15000.0,,,,,197000.0,,,800.0,,,,,846.0,,,70.0,,0,,0,,0,0,,
8,1958.0,female,66.0,university,48960.0,,,50000.0,34000.0,,,0.0,0.0,,,0.0,0.0,,0.7,0.09,,125000.0,0.12,0.04,,,,,,,,,,,,,,,,,,,,,,,,,1,False,on,,,,,,,0.0,0.2857142857142857,0.7142857142857142,0.016142857142857143,0.015,,,,,5000.0,,,,,,,,40.0,,,,60.0,,0,,0,,0,0,,
9,1970.0,female,65.0,post-secondary,21000.0,,15000.0,3000.0,,22400.000000000004,0.054545454545454536,0.0,,0.016,0.0,0.0,,0.0,0.5,0.06,,35000.0,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,1,False,on,450000.0,,450000.0,,,,0.0,1.0,0.0,0.01,0.0,,,,,,250000.0,,,,,,,,1300.0,,,62.0,,0,,0,,0,0,,
