,observations,mean,std,min,median,max
credit_card,2619.0,7462.81,11108.24,1.0,3500.0,160000.0
personal_loan,583.0,13899.75,16641.89,4.0,8000.0,165000.0
student_loan,567.0,20780.32,36291.52,1.0,11000.0,500000.0
car_loan,1680.0,20875.23,18594.77,1.0,18000.0,300000.0
credit_line,1591.0,26703.72,45989.51,1.0,12000.0,500000.0
first_mortgage,3169.0,189474.26,149566.21,1.0,165000.0,1500000.0
second_mortgage,283.0,176337.43,162586.02,1.0,130000.0,1110375.0
other_debt,127.0,13019.61,21830.53,1.0,3228.0,112000.0
credit_card_payment,2619.0,681.22,1974.55,0.0,300.0,100000.0
personal_loan_payment,583.0,450.24,1748.21,0.0,300.0,52000.0
student_loan_payment,567.0,259.0,760.79,0.0,150.0,18000.0
car_loan_payment,1680.0,832.41,10496.42,0.0,400.0,526062.0
credit_line_payment,1591.0,455.52,1279.25,0.0,200.0,32000.0
first_mortgage_payment,3169.0,1402.61,4346.09,0.0,1100.0,150000.0
second_mortgage_payment,283.0,2261.87,13469.98,0.0,800.0,170000.0
other_debt_payment,127.0,362.39,476.36,0.0,156.0,2700.0
